lat_avg,lng_avg,count_qualified,percent_covered,percent_qualified,yearly_sunlight_kwh_n,yearly_sunlight_kwh_e,yearly_sunlight_kwh_s,yearly_sunlight_kwh_w,yearly_sunlight_kwh_kw_threshold_avg,yearly_sunlight_kwh_total,carbon_offset_metric_tons,kw_total
44.333660125732415,-94.11167907714845,99,13.028953229398663,84.61538461538461,6080.683349609375,290558.03578491206,615423.4487731932,365833.6766723633,1000.45,1306206.1211791993,661.8379690857977,1091.0
33.5571403503418,-117.08634948730467,3333,99.42561746122918,96.2738301559792,2938781.601062014,14883516.55736084,22522919.0389648,18307662.258233655,1371.9,102247087.6984254,27875.728128426774,63646.75
39.15332412719727,-84.3865737915039,1474,98.86851346078812,58.168902920284125,205242.36174316407,2282687.1278564427,3077230.80612793,3106567.4909301773,996.2,12783700.63170166,10583.03718620285,11403.75
37.77034759521485,-122.43773651123048,478,99.03448275862067,66.57381615598885,13187.508447265624,136952.9828125,688503.1397705076,344538.0714538576,1158.7294938917964,4205739.175402831,1146.6149742904506,3225.0
39.05967712402344,-95.6447525024414,1264,99.36083672283556,73.91812865497076,523379.3665832521,1850714.0817810055,6018865.713275146,2543847.50057373,1096.5,17428584.72527461,12097.981043917063,13481.5
40.84393310546875,-73.402587890625,760,98.85535900104058,80.0,230436.13689575196,623856.8063659667,2571240.206219485,1184137.9164794916,1020.85,7262527.042834477,4426.231702993203,6123.75
42.34857177734375,-83.17133331298828,386,100.0,71.61410018552876,67450.11381225586,600987.3888977052,686203.1586791993,966765.1438293464,956.25,2806447.599908445,2210.445757881612,2534.25
33.456668853759766,-112.14301300048828,1304,176.95133149678605,67.66995329527764,1263907.0605773916,1426646.8881958013,4699923.036975095,2655081.1639831546,1375.3,24564836.11259161,10578.428448272043,15349.75
40.74615859985352,-74.05294799804686,705,99.03264812575574,86.08058608058607,88712.9539794922,531208.5141479493,1315467.6732421874,273777.6246520996,988.55,8533586.652221683,5422.758363355763,7416.5
37.98188018798828,-84.50232696533203,688,99.74025974025975,89.58333333333333,915231.8135498049,2911377.410247802,3738486.331060793,2945766.416088868,1002.9617547806522,11032353.873516845,8424.494608227975,9411.25
41.11775588989258,-80.6676025390625,642,97.93899422918383,54.04040404040404,789085.9625366209,1834086.5495605476,3296183.0578674288,1499735.4705749513,943.5,23787111.09991456,19692.254111337486,21483.75
42.0125732421875,-88.1575698852539,750,99.17695473251027,77.80082987551867,197201.97693481445,1258147.9729431146,2603346.3547546403,1756733.071948242,977.5,18278400.235327154,15131.846009837063,15759.5
32.8227424621582,-97.47718811035155,361,45.31625300240192,63.78091872791519,497214.5869995117,918456.5292724608,1696170.5070983886,1523106.372271728,1155.15,9020833.902648928,4386.709280719211,6645.75
44.9776725769043,-92.73426818847656,741,98.21011673151752,58.71632329635499,269520.1345458984,1135252.8327941892,3224258.193347171,1956005.4829711912,980.9023255813944,15329460.158612069,7767.241795956616,13565.5
38.14895248413086,-85.64359283447266,2333,99.6412913511359,93.32,4342710.781744388,4946428.864746096,10102075.395452898,6258777.068286139,1008.1,39894292.01518555,30463.9655176204,33400.25
42.49604034423828,-82.99697875976561,1043,99.56709956709955,90.69565217391305,1293138.3981933594,3268771.919610595,2693105.17095947,3049905.252246096,954.55,13631727.309802253,10736.774064669618,12434.25
40.3692512512207,-80.15180969238281,1330,98.7789203084833,86.53220559531553,1285892.522973633,2932204.9315063446,5563784.310498051,3529996.5673522893,948.6,21055938.861676022,17431.242359581865,18918.0
30.58955192565918,-88.0711669921875,728,96.89320388349513,72.94589178356713,1632542.459063721,1677964.8158203135,3384068.4189758287,1873961.7176025405,1113.5,11947176.512298577,7096.492563642873,9224.25
